feature_name
methyl_NEU1_2
methyl_AIFM2_2
methyl_MGMT_14
methyl_AKR1B1_1
methyl_SYT12_1
methyl_HTR5A_1
methyl_ACTR3C_1
methyl_HIST1H4K
methyl_RWDD2B_2
methyl_NTNG1_1
methyl_SLC26A4_1
methyl_HIST1H2BB_3
methyl_FAM19A4_1
methyl_MFSD3
methyl_CTD-2371O3NA3_2
methyl_RAC3_2
methyl_ESR2_2
methyl_ATAT1
methyl_FANCA_1
methyl_NIM1K_2
methyl_RP11-806H10NA4_2
transcript_HOXB1
transcript_SPRR1B
transcript_FOXG1
transcript_ST8SIA3
transcript_GAGE2A
transcript_HTR3C
transcript_SLC5A7
transcript_CRYGB
transcript_CLEC2A
transcript_CD70
transcript_LECT1
transcript_HAS1
transcript_IFNK
transcript_DEFB123
transcript_PRB1
transcript_PAGE2
transcript_UGT2B15
transcript_CALB1
transcript_TDRD9
transcript_ZNF536
transcript_CRYGD
transcript_SSX1
transcript_SERPINA11
transcript_FGF17
transcript_NLRP4
transcript_MYOC
transcript_LMX1A
transcript_VCX3B
transcript_BAGE5
transcript_POU3F3
transcript_GAGE1
transcript_MAGEA3
transcript_PAEP
transcript_IRX1
transcript_PAGE1
transcript_FGF22
transcript_SERPINA4
transcript_CARTPT
transcript_MYH4
transcript_XAGE5
transcript_AQP12B
transcript_PROK1
transcript_SLCO1B3
transcript_DPPA2
transcript_TPSD1
transcript_BRS3
transcript_MAGEC1
transcript_PON1
transcript_PYY
transcript_SPAG11B
transcript_PASD1
transcript_DMBT1
transcript_ANHX
transcript_CHI3L2
transcript_NCCRP1
transcript_SCGB1A1
transcript_FAM159B
transcript_MAGEA6
transcript_MAGEB2
transcript_FGF10
transcript_MAGEC2
transcript_ALPPL2
transcript_AQP8
transcript_PLD5
transcript_CYP1A2
transcript_C6orf15
transcript_OLFM4
transcript_NCAN
transcript_MAGEA9
transcript_HOXC12
transcript_ALX4
transcript_DRD1
transcript_P2RX2
transcript_BPIFB3
transcript_SPINK8
transcript_INSL6
transcript_MYOZ2
transcript_PRODH2
transcript_DAZL
transcript_WFDC11
transcript_DPPA4
transcript_CLEC3A
transcript_MUC17
transcript_NPFFR2
transcript_HOXC13
transcript_GABRA1
transcript_AADACL4
transcript_VSTM2A
transcript_HOXD12
transcript_TECRL
transcript_VCX3A
transcript_DEFB135
transcript_MAGEA12
transcript_SP9
transcript_UGT2A3
transcript_CNPY1
transcript_OTX2
transcript_SSX5
transcript_TRIM63
transcript_CCDC105
transcript_NEU2
transcript_HCRT
transcript_RP5-907C10.4
transcript_MAGEA9B
transcript_DMRTB1
transcript_TUBA3C
transcript_AGTR2
transcript_OCM2
transcript_DDX53
transcript_CCDC140
transcript_OLIG3
transcript_LBX1
transcript_LHFPL3
transcript_OR7G2
transcript_INSL5
transcript_CTAG2
transcript_OR5B12
transcript_FGF4
transcript_IGFL3
transcript_OR1N1
transcript_PROL1
transcript_COX7B2
