feature_name
1433ZETA
4EBP1
4EBP1_pT37T46
53BP1
ACC1
ACC_pS79
ACETYLATUBULINLYS40
ADAR1
AKT
AKT_pS473
AKT_pT308
ALKBH5
AMPKALPHA_pT172
ANNEXIN1
AR
ARID1A
ASNS
ATM
ATM_pS1981
ATP5A
ATRX
AXL
AceCS1
Akt2
Akt2_pS474
Atg5
Atg7
Aurora-A
Aurora-B
B7-H3
BCL2
BETACATENIN
BIM
BRAF
BRD4
CASPASE7CLEAVEDD198
CAVEOLIN1
CD171
CD4
CD44
CDK1_pT14
CDT1
CHD1L
CHK2
CKIT
CLAUDIN7
CMYC
COLLAGENVI
CREB_pS133
CYCLINB1
CYCLINE1
Calnexin
Caspase-8-cleaved
Connexin-43
Coup-TFII
Cox-IV
Cox2
CtIP
Cyclophilin-F
DDR1
DJ1
DNA_POLG
DNMT1
DRP1
DUSP4
DUSP6
ECADHERIN
EEF2
EEF2K
EGFR_pY1068
EIF4G
EMA
ENY2
EPPK1
ERALPHA
ERCC5
ERK2
ETS1
EVI1
Enolase-1
EphA2
EphA2_pS897
FAK
FAK_pY397
FASN
FGF-basic
FIBRONECTIN
FOXM1
FTO
GAB2
GAPDH
GCLC
GCN5L2
GRB7
GSK-3B
GSK3ALPHABETA_pS21S9
GSK3_pS9
Gli1
Glucocorticoid-Receptor
Glutamate-D1-2
Granzyme-B
Grp75
HER2
HER2_pY1248
HER3
HES1
HLA-DQA1
HMHA1
HSP27
HSP27_pS82
HSP60
HSP70
Hexokinase-II
Histone-H3
Histone-H3_pS10
IDO
IGFBP2
IGFBP3
IGFRb
INPP4B
IR-b
IRS1
IRS2
JNK2
KAP1
KU80
LAD1
LCK
Lyn
MAPK_pT202Y204
MCT4
MEK1
MEK1_pS217S221
MIF
MLKL
MMP14
MSH2
MSH6
MTCO1
MYH11
Mcl-1
Mitofusin-1
Mitofusin-2
Mnk1
NCADHERIN
NDRG1_pT346
NF2
NFKBP65_pS536
NQO1
P16INK4A
P21
P27
P38_pT180Y182
P53
P62LCKLIGAND
P70S6K_pT389
PAI1
PAICS
PAK1
PAK4
PAR
PARP1
PARPCLEAVED
PAX6
PAX8
PAXILLIN
PDCD4
PDGFRB
PEA15
PEA15_pS116
PERK
PHGDH
PI3KP85
PKA-a
PKC-a-b-II_pT638_T641
PKCALPHA
PKCALPHA_pS657
PKCPANBETAII_pS660
PLC-gamma1
PLC-gamma2_pY759
PLK1
PMS2
PREX1
PTEN
RAB25
RAD50
RBM15
RB_pS807S811
RICTOR
RIP
RPA32_pS4_S8
RSK1
Rad23A
Rheb
S100A4
S6
S6_pS235S236
S6_pS240S244
SDHA
SGK3
SIRP-alpha
SLC1A5
SMAC
SMAD1
SNAIL
SOD1
SOD2
SRC
SRC_pY527
STAT5ALPHA
STING
SYK
Sox2
Stat3
TFAM
TFRC
TRANSGLUTAMINASE
TRAP1
TRIM25
TRIP13
TSC1
TUBERIN
U-Histone-H2B
ULK1_pS757
VASP
VAV1
VEGFR2
Vinculin
WIPI1
WTAP
Wee1
XPA
YAP_pS127
YTHDF2
YTHDF3
ZAP-70
ZEB1
cdc25C
p90RSK_pT573
SHP2_pY542
p38-a
YAP
ERRalpha
Lasu1
RPA32
